id,name,created_at,updated_at
1,gh,2017-07-25 03:48:42 UTC,2017-07-25 03:48:42 UTC
2,tag.......,2017-07-25 03:48:42 UTC,2017-07-25 03:48:42 UTC
3,tag!,2017-07-25 03:49:33 UTC,2017-07-25 03:49:33 UTC
4,austin,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
5,garden,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
6,gardening,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
7,summer,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
8,plants,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
9,flowers,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
10,leaves,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
11,vegetables,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
12,compost,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
13,snow,2017-07-25 17:56:08 UTC,2017-07-25 17:56:08 UTC
14,texas,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
15,history,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
111,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
112,new_record_2,2017-07-28 21:48:07 UTC,2017-07-28 21:48:07 UTC
19,sam houston,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
20,Mirabeau B. Lamar,2017-07-25 18:01:27 UTC,2017-07-25 18:01:27 UTC
21,segway,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
22,tour,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
23,downtown,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
24,capital,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
25,culture,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
26,congress,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
27,lady bird lake,2017-07-25 18:04:26 UTC,2017-07-25 18:04:26 UTC
28,tourism,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
29,Bullock Texas State History Museum,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
30,museum,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
31,fun,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
32,visitor,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
33,resident,2017-07-25 18:08:11 UTC,2017-07-25 18:08:11 UTC
34,hummingbird,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
35,bird,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
36,america,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
37,parks,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
38,hill country,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
39,nature,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
40,birdwatchers,2017-07-25 18:11:18 UTC,2017-07-25 18:11:18 UTC
41,millennials,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
42,technology,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
43,silicon hills,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
44,music,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
45,south by southwest,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
46,university of texas,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
47,festival,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
48,film,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
49,media,2017-07-25 18:58:17 UTC,2017-07-25 18:58:17 UTC
50,performance,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
51,6th street,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
52,willie nelson,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
53,government,2017-07-25 22:17:20 UTC,2017-07-25 22:17:20 UTC
54,wildlife,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
55,animal,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
56,mammal,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
57,reptile,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
58,,2017-07-25 22:37:08 UTC,2017-07-25 22:37:08 UTC
59,food,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
60,drink,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
61,nightlife,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
62,restaurant,2017-07-25 22:39:50 UTC,2017-07-25 22:39:50 UTC
63,mountain,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
64,bike,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
65,biking,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
66,backpack,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
67,sport,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
68,exercise,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
69,map,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
70,navigation,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
71,safety,2017-07-25 22:43:02 UTC,2017-07-25 22:43:02 UTC
72,vegan,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
73,health,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
74,lifestyle,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
75,learn,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
76,transition,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
77,support,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
78,plant-based,2017-07-25 22:46:04 UTC,2017-07-25 22:46:04 UTC
79,delete,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
80,adam,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
81,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
82,new_record_2,2017-07-28 17:35:20 UTC,2017-07-28 17:35:20 UTC
83,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
85,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
86,new_record_2,2017-07-28 18:11:41 UTC,2017-07-28 18:11:41 UTC
87,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
88,new_record_2,2017-07-28 18:14:15 UTC,2017-07-28 18:14:15 UTC
89,new_record_1,2017-07-25 22:48:02 UTC,2017-07-25 22:48:02 UTC
